ID_REF,GSM96454,GSM96455,GSM96456,GSM96457,GSM96458,GSM96459,GSM96461,GSM96462,GSM96463,GSM96464,GSM96466,GSM96467,GSM96468,GSM96469,GSM96470,GSM96471,GSM96472,GSM96473,GSM96474,GSM96475,GSM96476,GSM96477,GSM96478,GSM96479,GSM96480,GSM96481,GSM96482,GSM96483
1,8.916687,0,1.423235,1.753486,2.384516,2.748125,2.162442,0.440947,1.599973,2.863151,3.270494,1.465862,1.30868,2.195177,0,0,0.288967,0.271961,1.161566,0.333659,0.108068,0,0,0,0.039647,0,0,0
2,0.984519,0,0.201923,0.418299,0.614557,0.022791,0.22883,0,0.326064,0.725076,0.826134,0.046059,0.850442,0.371289,0,0,0.257111,0.224908,0.589587,0,0.049857,0,0,0,0,0.117562,0,0
3,8.521283,1.396214,5.939047,5.212416,7.767108,5.175975,6.52596,1.996532,3.188851,6.458043,5.227014,5.164382,2.627316,5.620323,0.93996,1.364581,3.684356,6.632177,1.811807,3.338376,1.029706,1.981267,2.143346,1.748842,2.543808,3.473272,1.540824,1.528174
4,0.44659,0,0.536249,0.334595,0.774276,0.3709,0.531093,0.396178,0.336694,0.756075,0.929535,0.230301,0.394787,0.101946,0,0,0.286626,1.159996,1.229087,0.401173,0.211169,0,0.17827,0.172782,0.474135,0.34412,0.015484,0.023176
5,0,0,0,0,0.181362,0,0,0,0.049641,0.025741,0.110062,0,0,0,0,0,0,0.137853,0.98702,0,0,0,0,0,0.003383,0.130076,0,0
6,0.3353,0,0.291286,0,0.320464,0,0,0.070277,0.332031,0.13141,0.563716,0.006617,0.152376,0.149507,0,0,0,1.035899,1.32286,0,0.05169,0,0,0,0,0,0.14782,0
7,0.713659,0,0.088049,0.132958,0.265823,0.189102,0.072325,0.080761,0.284596,0.321155,0.508501,0,0.163252,0.362804,0,0,0,0.223378,1.782123,0,0,0,0,0,0,0,0,0.006394
8,1.916745,0.367672,1.045196,1.015245,1.50671,0.906729,1.101285,0.456795,0.859507,1.029713,1.23745,0.694323,0.925309,0.675297,0.059702,0,1.964815,1.985174,1.321714,1.140168,0.435592,0.54807,0.705567,0.547298,1.106544,0.988894,0.023379,0.865746
9,0.045454,0.530522,0.267341,0.032429,0.184944,0,0,0.032585,0.173295,0.157039,0.456598,0,0.198861,0,0,0,0.351025,1.52013,1.111071,0.419863,0.474474,0.153024,0.025057,0.029673,0.581367,0.740092,1.126086,0.13592
10,0.31778,1.427381,0.859509,0.686729,0.926952,0.585698,0.671382,0.553063,0.419151,0.981196,0.618508,0.197137,0.543495,0.180439,0.512799,0,1.057805,2.213267,0.896052,1.315216,0.372474,0.725402,0.560796,0.441118,1.21757,1.602863,0,0.410597
