#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	AGO2	9606.ENSP00000494750	9606.ENSP00000220592	0	0	0	0	0.047	0.070	0	0.587	0.602
ACTB	RPL19	9606.ENSP00000494750	9606.ENSP00000225430	0	0	0	0	0.178	0.091	0	0.584	0.662
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0	0	0	0.485	0.972	0.900	0.992	0.999
ACTB	RPS12	9606.ENSP00000494750	9606.ENSP00000230050	0	0	0	0	0.126	0.254	0	0.175	0.416
ACTB	TMSB10	9606.ENSP00000494750	9606.ENSP00000233143	0	0	0	0	0.373	0.232	0	0.199	0.581
ACTB	RAC2	9606.ENSP00000494750	9606.ENSP00000249071	0	0	0	0	0.172	0.259	0	0.376	0.584
ACTB	H3-3B	9606.ENSP00000494750	9606.ENSP00000254810	0	0.001	0	0	0.103	0.819	0	0.784	0.962
ACTB	SMARCD3	9606.ENSP00000494750	9606.ENSP00000262188	0	0	0	0	0.084	0.397	0.800	0.229	0.903
ACTB	RPS27A	9606.ENSP00000494750	9606.ENSP00000272317	0	0	0	0	0.121	0.321	0	0.382	0.600
ACTB	FTH1	9606.ENSP00000494750	9606.ENSP00000273550	0	0	0	0	0.174	0.091	0	0.445	0.547
ACTB	CEBPB	9606.ENSP00000494750	9606.ENSP00000305422	0	0	0	0	0.062	0	0	0.578	0.587
ACTB	RPL13	9606.ENSP00000494750	9606.ENSP00000307889	0	0	0	0	0.146	0.066	0	0.316	0.407
ACTB	RPL38	9606.ENSP00000494750	9606.ENSP00000309830	0	0	0	0	0.100	0.091	0	0.335	0.408
ACTB	RPL4	9606.ENSP00000494750	9606.ENSP00000311430	0	0	0	0	0.181	0.365	0	0.496	0.715
ACTB	ROCK2	9606.ENSP00000494750	9606.ENSP00000317985	0	0	0	0	0.081	0.070	0	0.402	0.445
ACTB	PPP1CA	9606.ENSP00000494750	9606.ENSP00000326031	0	0	0.280	0	0.265	0.447	0	0.351	0.785
ACTB	EEF1G	9606.ENSP00000494750	9606.ENSP00000331901	0	0	0	0	0.190	0.091	0	0.298	0.439
ACTB	EEF1A1	9606.ENSP00000494750	9606.ENSP00000339063	0	0	0	0	0.481	0.604	0	0.776	0.950
ACTB	RPS2	9606.ENSP00000494750	9606.ENSP00000341885	0	0	0	0	0.305	0.094	0	0.506	0.662
ACTB	RPL3	9606.ENSP00000494750	9606.ENSP00000346001	0	0	0	0	0.234	0.070	0	0.272	0.437
ACTB	RPLP1	9606.ENSP00000494750	9606.ENSP00000346037	0	0	0	0	0.155	0.267	0	0.473	0.645
ACTB	S100A4	9606.ENSP00000494750	9606.ENSP00000357704	0	0	0	0	0.073	0.092	0	0.448	0.495
ACTB	RPS4X	9606.ENSP00000494750	9606.ENSP00000362744	0	0	0	0	0.140	0.231	0	0.167	0.402
ACTB	CUL4A	9606.ENSP00000494750	9606.ENSP00000364589	0	0	0	0	0.042	0	0.400	0.328	0.580
ACTB	FTL	9606.ENSP00000494750	9606.ENSP00000366525	0	0	0	0	0.315	0.091	0	0.365	0.570
ACTB	TMSB4X	9606.ENSP00000494750	9606.ENSP00000370010	0	0	0	0	0.192	0.396	0.900	0.311	0.961
ACTB	FSCN1	9606.ENSP00000494750	9606.ENSP00000371798	0	0	0	0	0.081	0.100	0	0.402	0.462
ACTB	RPS9	9606.ENSP00000494750	9606.ENSP00000375632	0	0	0	0	0.126	0.253	0	0.449	0.609
ACTB	HLA-A	9606.ENSP00000494750	9606.ENSP00000379873	0	0	0	0	0.204	0	0	0.306	0.424
